"Severity","Time","Recovery time","Status","Host","Problem","Duration","Ack","Actions","Tags"
"High","2026-06-15 06:25:37 PM","2026-06-15 06:30:10 PM","RESOLVED","BHS-NAS-MPLS01","Module Fan 3 is in (Down or Off) State","4m 33s","No","Actions (4)","alerttype: hardware, class: network, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"High","2026-06-15 06:25:37 PM","2026-06-15 06:30:10 PM","RESOLVED","BHS-NAS-MPLS01","Module Fan 5 is in (Down or Off) State","4m 33s","No","Actions (4)","alerttype: hardware, class: network, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Warning","2026-06-15 06:25:37 PM","2026-06-15 06:30:10 PM","RESOLVED","BHS-NAS-MPLS01","Module Fan Tray is in (runningAtFullSpeed) State","4m 33s","No","Actions (4)","alerttype: hardware, class: network, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"High","2026-06-15 06:25:37 PM","2026-06-15 06:30:10 PM","RESOLVED","BHS-NAS-MPLS01","Module Fan 4 is in (Down or Off) State","4m 33s","No","Actions (4)","alerttype: hardware, class: network, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"High","2026-06-15 06:25:37 PM","2026-06-15 06:30:10 PM","RESOLVED","BHS-NAS-MPLS01","Module Fan 2 is in (Down or Off) State","4m 33s","No","Actions (4)","alerttype: hardware, class: network, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"High","2026-06-15 06:25:09 PM","2026-06-15 06:26:09 PM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","1m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"High","2026-06-15 04:01:09 PM","2026-06-15 04:02:09 PM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","1m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"High","2026-06-08 05:27:11 PM","2026-06-08 05:41:11 PM","RESOLVED","BHS-NAS-MPLS01","Module PEM 0 is in (Down or Off) State","14m","No","Actions (4)","alerttype: hardware, class: network, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Warning","2026-06-08 05:23:09 PM","2026-06-08 05:29:09 PM","RESOLVED","BHS-NAS-MPLS01","Generic SNMP: BHS-NAS-MPLS01 has been restarted (uptime < 10m)","6m","No","Actions (4)","alerttype: availability, class: network, component: system, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, target: snmp, template: junipermplslsp, vendor: juniper"
"High","2026-06-08 05:22:09 PM","2026-06-08 05:39:09 PM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","17m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Warning","2026-06-08 02:30:48 PM","2026-06-08 05:21:48 PM","RESOLVED","BHS-NAS-MPLS01","Generic SNMP: No SNMP data collection","2h 51m","No","Actions (4)","alerttype: availability, class: network, component: zabbixagent, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, target: snmp, template: junipermplslsp, vendor: juniper"
"High","2026-06-08 02:25:09 PM","2026-06-08 05:21:09 PM","RESOLVED","BHS-NAS-MPLS01","ICMP: Unavailable by ICMP ping","2h 56m","Yes","Messages (1), Actions (5)","alerttype: availability, class: network, component: icmp, country: bahamas, ip: 190.242.4.16, lla: icmp, lla: pingnetwork, opgr: b2bnoc, target: snmp, template: junipermplslsp, vendor: juniper"
"Average","2026-05-14 02:59:47 PM","2026-05-14 03:06:48 PM","RESOLVED","BHS-NAS-MPLS01","Interface xe-2/0/0(TO-BVI-PAL-MPLS01-xe-2/0/9_16829.TR_BKBN_MPLS): Link down","7m 1s","No","Actions (4)","alerttype: availability, alias: TO-BVI-PAL-MPLS01-xe-2/0/9_16829.TR_BKBN_MPLS, class: network, component: interface, country: bahamas, interface: xe-2/0/0, ip: 190.242.4.16, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Average","2026-05-13 10:53:47 PM","2026-05-13 11:00:47 PM","RESOLVED","BHS-NAS-MPLS01","Interface xe-2/0/0(TO-BVI-PAL-MPLS01-xe-2/0/9_16829.TR_BKBN_MPLS): Link down","7m","No","Actions (4)","alerttype: availability, alias: TO-BVI-PAL-MPLS01-xe-2/0/9_16829.TR_BKBN_MPLS, class: network, component: interface, country: bahamas, interface: xe-2/0/0, ip: 190.242.4.16, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
